Transaction Number,Day,Actual Cost,Predicted Cost,Squared Error
94,5,957.2439898,964.2383564,48.92116359
95,5,954.6887065,968.0739087,179.1636386
96,5,950.2715321,964.5052503,202.5987334
97,5,942.4144461,964.6761327,495.5826918
98,5,959.0674567,961.2831078,4.909109785
99,5,950.7330307,975.789722,627.8377774
100,5,959.3625234,954.1272194,27.40840855
101,6,943.8600828,963.2660743,376.5925063
102,6,954.330443,971.6231338,299.0371565
103,6,954.833211,948.9712704,34.36234709
104,6,941.1059131,952.3948434,127.4399486
105,6,942.3885156,950.12169,59.80198568
106,6,940.738305,941.5978972,0.73889869
107,6,946.6161446,951.6607098,25.44763753
108,6,943.5356202,959.4596211,253.5738059
109,6,956.3141358,970.0302848,188.1327437
110,6,956.5252112,951.170204,28.67610232
111,6,954.4351869,949.8218557,21.28282492
112,6,950.5462051,955.0796589,20.55220385
113,6,961.3023699,964.2243059,8.537709858
114,6,954.4358805,953.8597038,0.331979563
115,6,950.6843495,946.5456353,17.12895484
116,6,964.8487508,953.1816736,136.120692
117,6,968.7854918,959.2862921,90.23479502
118,6,957.3758736,961.519459,17.16930012
119,6,951.7265633,945.0772621,44.21320611
120,6,937.2285897,935.6894338,2.369000889
121,7,935.8052368,960.8162124,625.5488994
122,7,922.7684674,957.6975047,1220.037645
123,7,935.4724412,957.862585,501.3185375
124,7,961.6708054,955.6256166,36.54430758
125,7,969.5060227,961.0742329,71.09508025
126,7,971.5927258,951.9711658,385.0056178
127,7,932.3212396,961.9117063,875.595721
128,7,954.5700197,961.7201153,51.12386698
129,7,942.7708171,954.1195132,128.7929031
130,7,940.5773939,971.646702,965.3019037
131,7,970.7848642,952.165999,346.6621422
132,7,956.0389311,958.3577149,5.376758222
133,7,955.8018265,945.160204,113.2441284
134,7,951.6365847,953.5919805,3.823572801
135,7,971.3688359,960.993638,107.6447324
136,7,957.3659279,958.5782805,1.469798636
137,7,959.9105852,949.4123828,110.2122537
138,7,945.8482446,951.14166,28.02024662
139,7,956.2830623,954.4825358,3.2418955
140,7,954.308064,953.9389296,0.136260191
141,8,974.6476846,942.9566623,1004.320896
142,8,943.3623978,955.382235,144.4764864
143,8,943.5526824,940.9523141,6.7619153
144,8,939.1030138,963.6856935,604.3081412
145,8,965.5455092,957.9610597,57.52387464
146,8,971.342676,967.3614933,15.84981597
147,8,954.5597042,977.169751,511.2142154
148,8,957.895859,953.8992025,15.97326333
149,8,935.3806771,964.2532185,833.6236436
150,8,939.9203875,954.233502,204.8652466
151,8,944.4879863,963.0831956,345.7818081
152,8,954.3943468,954.1367011,0.066381314
153,8,952.6015524,962.2625662,93.33518856
154,8,957.7819278,966.1175005,69.481772
155,8,945.8545611,945.6689598,0.034447848
156,8,956.5385953,966.456286,98.36058888
157,8,954.4051731,958.5868384,17.48632419
158,8,940.8353014,976.5997826,1279.098116
159,8,941.2789071,952.121361,117.5588062
160,8,933.0558714,963.4251524,922.2932273
161,9,950.0824392,967.2997746,296.436636
162,9,958.9108176,967.0216387,65.78541888
163,9,959.3304973,946.7250795,158.8965598
164,9,952.4620299,961.3750548,79.44201194
165,9,958.3931164,943.001032,236.916263
166,9,943.1305983,944.6415638,2.283016854
167,9,941.3273671,936.9589916,19.08270464
168,9,951.7171052,975.6401315,572.3111871
169,9,941.3008248,945.681712,19.19217323
170,9,953.1438124,952.9937979,0.022504336
171,9,945.8958534,974.2104977,801.7190852
172,9,940.4492344,964.0596077,557.4497272
173,9,949.2707076,956.9072129,58.31621264
174,9,958.0490933,959.7992491,3.063045269
175,9,959.8952512,954.3342541,30.92468978
176,9,967.001945,955.7995349,125.4939934
177,9,953.9232177,957.9670191,16.35232977
178,9,942.4271741,961.5660736,366.2974765
179,9,951.3420513,954.843713,12.2616345
180,9,948.822356,952.7108525,15.1204052
181,10,948.5173069,935.3792234,172.6092364
182,10,954.991775,959.1672879,17.434908
183,10,934.5838526,945.1588734,111.8310656
184,10,955.9936497,953.6142007,5.661777326
185,10,943.1690208,975.6795592,1056.935103
186,10,954.5427428,963.8010308,85.71589718
187,10,939.7022593,948.2947514,73.83092092
188,10,946.3372736,944.3365608,4.002851865
189,10,961.9783273,960.0014603,3.908003024
190,10,947.0565048,951.2025524,17.18971097
191,10,945.213516,954.0301086,77.73230518
192,10,952.940562,955.6137185,7.145765869
193,10,949.4289421,955.3986286,35.6371564
194,10,953.0946421,957.9665189,23.73518321
195,10,952.4200631,943.5841191,78.07390592
196,10,949.2348581,957.9689788,76.28486539
197,10,938.1666472,973.0642545,1217.842995
198,10,962.3042315,956.564603,32.94333532
199,10,951.3257182,955.6152638,18.40020159
200,10,961.2240354,977.1867814,254.8092604
201,11,941.4360776,937.0173412,19.52523172
202,11,953.0753451,968.0339169,223.7588695
203,11,945.3978317,969.0152446,557.7821939
204,11,939.878477,952.1636605,150.9257336
205,11,968.7963674,948.8353875,398.4407177
206,11,940.8442724,955.6805711,220.1157592
207,11,950.4011203,953.8607248,11.96886338
208,11,944.1609614,961.9823048,317.6002829
209,11,933.6060427,960.2449961,709.6338398
210,11,943.7472843,968.6328165,619.2897132
211,11,969.0782943,951.5046086,308.8344276
212,11,942.7724661,961.1635854,338.2332683
213,11,948.5719713,948.9594949,0.150174545
214,11,951.133899,969.66146,343.2705186
215,11,951.4710539,964.8817584,179.846997
216,11,960.0830461,951.8987957,66.98195548
217,11,956.9241449,962.2229827,28.07768222
218,11,927.9556899,950.8542552,524.3442933
219,11,956.4322695,957.5490497,1.24719791
220,11,959.034813,953.2933792,32.96406152
221,12,929.7995619,956.4934205,712.5620851
222,12,961.544314,940.7536446,432.2519307
223,12,952.4084154,937.8779276,211.135075
224,12,937.1899914,962.0819396,619.6090866
225,12,946.6345545,956.6867519,101.0466724
226,12,949.6433082,946.5430088,9.611856439
227,12,946.5535132,955.0261208,71.78507996
228,12,945.191643,950.1890212,24.97378862
229,12,936.3620669,940.3855442,16.18836962
230,12,947.9181036,960.3614741,154.8374689
231,12,956.3681228,941.0972684,233.1989933
232,12,949.797746,981.5557662,1008.571849
233,12,944.1527408,946.4414064,5.23798986
234,12,930.5749734,946.999358,269.7604104
235,12,961.903406,956.8928685,25.10548552
236,12,941.1445083,960.3722125,369.704606
237,12,943.4212358,949.3362384,34.98725641
238,12,947.7680242,939.5914242,66.85678716
239,12,947.3403093,953.3715748,36.37616362
240,12,950.2219262,949.1230471,1.207535157
241,13,946.1358271,964.8740805,351.1221399
242,13,942.1231332,971.3977148,857.0011301
243,13,945.3521044,969.0434719,561.2808963
244,13,945.3127341,964.2136815,357.2458123
245,13,940.3472613,966.2834685,672.6868434
246,13,942.7808005,939.140942,13.24857033
247,13,962.7173229,952.9972075,94.4806425
248,13,940.833428,965.8273204,624.6946576
249,13,939.8465851,946.5559201,45.01517607
250,13,933.0380207,949.7745895,280.1127361
251,13,946.5012193,955.8300896,87.02782136
252,13,960.8933617,958.5515431,5.484114279
253,13,956.9997162,943.8418043,173.130646
254,13,935.1755414,953.982742,353.7107936
255,13,950.7294345,951.4111941,0.464796211
256,13,937.8641284,958.636171,431.4777559
257,13,939.1240251,953.2959093,200.8423012
258,13,956.3301331,939.0831146,297.4596489
259,13,942.7646868,965.1637942,501.7200128
260,13,943.2159735,960.0063278,281.9159996
261,14,948.9503545,958.3245972,87.87642636
262,14,946.2650497,942.4468428,14.57870357
263,14,951.2592763,947.8411528,11.68356827
264,14,972.3577399,944.1350258,796.52159
265,14,943.3637921,945.1511619,3.19469085
266,14,948.4048062,955.5820451,51.51275807
267,14,954.0746533,940.0353327,197.1025243
268,14,934.282774,946.8352265,157.564063
269,14,949.1682146,956.1287614,48.4492111
270,14,949.311974,955.4441558,37.60365413
271,14,962.8461232,947.7528529,227.8068102
272,14,935.5224948,961.7802213,689.4681981
273,14,951.0607533,961.0522514,99.83003378
274,14,948.1017963,951.8974942,14.40732253
275,14,957.2826621,942.0210044,232.9181945
276,14,933.3897589,966.5980454,1102.790293
277,14,952.6027146,952.9074576,0.092868295
278,14,951.1816271,953.0587709,3.523668963
279,14,961.5967475,965.7715984,17.42938054
280,14,941.0985293,957.6703304,274.624593
281,15,967.3726607,969.4953696,4.505893072
282,15,957.4635347,959.0651092,2.565040801
283,15,949.5262229,942.0602909,55.74014192
284,15,946.3289527,943.2627554,9.401565619
285,15,933.0442534,949.927729,285.0517468
286,15,956.9649144,945.2672588,136.8351475
287,15,949.7394028,950.1359623,0.157259468
288,15,939.8037724,945.3505694,30.76695691
289,15,955.5641724,944.4043326,124.5420252
290,15,952.511368,967.7073201,230.9169596
291,15,937.1869545,955.9610784,352.467727
292,15,936.2471567,956.8894821,426.1056012
293,15,960.3324714,962.1944902,3.4671139
294,15,940.5497591,973.249996,1069.305491
295,15,956.5826285,948.0914011,72.10094343
296,15,933.9141066,971.7760541,1433.527066
297,15,951.2819794,956.546997,27.72041049
298,15,950.2259311,973.9493859,562.8023043
299,15,946.6936689,944.211692,6.160209346
300,15,941.9956854,963.9500486,481.9940598
301,16,941.0422488,954.1729629,172.415652
302,16,956.3422032,944.1696425,148.1712359
303,16,939.5919841,957.2922529,313.299514
304,16,945.644169,941.4204378,17.83990519
305,16,947.7386657,945.8112331,3.714996608
306,16,953.7286698,948.5371955,26.9514049
307,16,961.558866,962.7677105,1.461304838
308,16,965.2396637,960.2200408,25.19661471
309,16,925.2288742,960.9320474,1274.71658
310,16,962.136548,962.3994627,0.069124171
311,16,946.6502827,962.0365236,236.7364085
312,16,970.5084942,955.5085066,224.9996284
313,16,946.2907884,955.8417776,91.22139584
314,16,953.4184209,977.8394046,596.3844418
315,16,958.7331695,946.4834509,150.0556068
316,16,935.3098233,950.383442,227.2139788
317,16,959.498243,947.0402786,155.2008778
318,16,935.5998067,948.743483,172.7562252
319,16,950.30094,932.5102591,316.5083259
320,16,953.9869502,959.0008982,25.13967446
321,17,941.2618673,949.4196034,66.5486573
322,17,955.6691506,956.4551335,0.617769201
323,17,947.3328191,956.8244055,90.09021292
324,17,940.0161534,959.8360748,392.8292839
325,17,953.7619677,953.9225777,0.025795573
326,17,974.227713,956.0098131,331.8918771
327,17,947.5695333,933.8157123,189.1675937
328,17,945.0420078,953.0071393,63.44332014
329,17,935.7916184,959.7333567,573.2068345
330,17,945.0614734,954.7642031,94.142963
331,17,955.6824285,970.1031249,207.9564851
332,17,948.0852656,964.1228559,257.2043032
333,17,927.358519,946.7933191,377.7114574
334,17,945.5527994,949.4244466,14.98965233
335,17,959.792894,958.4031392,1.931418391
336,17,941.5254939,950.4097672,78.93031104
337,17,957.6952608,954.2652384,11.7650538
338,17,958.5426152,950.8146256,59.72182429
339,17,950.6939538,955.4978477,23.07739696
340,17,951.5751154,952.3476228,0.59676757
341,18,949.7074547,971.0042819,453.5548469
342,18,941.5045633,948.8438675,53.86538597
343,18,950.2662758,947.8554491,5.812085529
344,18,961.8155702,966.535661,22.27925733
345,18,953.5841472,951.7843426,3.239296372
346,18,933.8088388,958.6015274,614.6774038
347,18,955.3333609,965.4522221,102.3913535
348,18,947.353731,935.2459519,146.5983147
349,18,951.2471989,955.3586076,16.90368175
350,18,968.4211865,976.3524891,62.90556171
351,18,952.8770586,947.7468056,26.31949576
352,18,953.9532902,981.605174,764.6266743
353,18,948.4589212,963.841823,236.6336664
354,18,947.281122,951.874377,21.09799175
355,18,952.1927942,948.8718195,11.02887278
356,18,954.7649828,956.4494016,2.837266591
357,18,943.5854619,949.5611722,35.70911421
358,18,933.906689,953.7667283,394.4211604
359,18,940.4600399,957.8810481,303.4915263
360,18,965.6632191,955.1603959,110.3092945
361,19,972.261185,949.8639773,501.6349133
362,19,932.0521659,978.1843884,2128.181956
363,19,934.3986812,940.9361822,42.73891946
364,19,932.7068627,958.8994521,686.0517386
365,19,948.6031227,965.2063627,275.6675786
366,19,959.1610696,948.5645576,112.286066
367,19,964.56096,944.3978793,406.5498226
368,19,951.033938,944.0492124,48.78639103
369,19,951.5930068,964.7155152,172.200227
370,19,952.8695391,943.7904856,82.42921265
371,19,942.8116511,967.823698,625.6024933
372,19,945.9710042,972.4279634,699.9706921
373,19,966.7278601,957.4603588,85.88658203
374,19,946.5704466,963.8922639,300.0453553
375,19,947.9185622,953.8189345,34.81439392
376,19,943.3783091,953.3474634,99.38403558
377,19,946.0614099,944.7807681,1.64004328
378,19,941.2439696,963.9123069,513.8535173
379,19,935.5597203,967.6288243,1028.427429
380,19,940.9024177,960.5547164,386.2128426
381,20,957.519416,948.6784533,78.16262043
382,20,941.7432375,963.2513912,462.6006767
383,20,946.953073,958.0669669,123.518637
384,20,960.8467654,948.7294923,146.8283061
385,20,946.5014855,951.6759941,26.77553944
386,20,956.4641679,961.4580518,24.9388766
387,20,957.9149617,972.0114663,198.7114408
388,20,955.962151,954.04217,3.686327199
389,20,950.6277707,950.7887833,0.025925078
390,20,947.8185381,965.999512,330.5478112
391,20,955.3986683,959.4651834,16.53654488
392,20,944.370149,938.0985913,39.3324365
393,20,947.2969861,949.9034269,6.793533987
394,20,944.4355552,957.1386235,161.3679451
395,20,953.9948072,937.2825747,279.2987138
396,20,960.0340108,961.7795944,3.047062144
397,20,960.3026807,963.7006454,11.54616365
398,20,943.3868249,959.9111792,273.0542837
399,20,952.2236799,961.1548958,79.76661696
400,20,933.5218633,971.5583864,1446.777094
401,21,959.3474594,962.6756684,11.07697505
402,21,945.3025762,949.1055243,14.46241394
403,21,937.0893179,941.0923044,16.02390126
404,21,948.359634,952.9027875,20.64024384
405,21,969.634638,959.3817756,105.1211877
406,21,952.4466543,939.6779376,163.0401283
407,21,941.8249229,965.8620882,577.7853159
408,21,954.2780899,955.4818331,1.448997841
409,21,966.643209,957.1940029,89.28749603
410,21,941.6192958,962.2702762,426.4629905
411,21,956.9071894,966.2601593,87.47804546
412,21,953.8304257,946.3979902,55.24109646
413,21,949.8702303,952.9379504,9.410906573
414,21,950.1523685,949.2793221,0.762210144
415,21,947.6185077,951.1184721,12.24975033
416,21,958.2632091,957.4461706,0.66755186
417,21,934.5763804,943.0307809,71.47688648
418,21,943.994607,933.4839732,110.4734232
419,21,947.1930975,950.3519327,9.978239897
420,21,942.8940832,956.1902784,176.7888057
421,22,944.6957864,962.9066973,331.6372752
422,22,954.826524,944.8408466,99.71375299
423,22,948.4548717,961.5609616,171.7695929
424,22,947.1581717,958.5647679,130.1104367
425,22,957.1192657,965.6030923,71.97531355
426,22,952.2667462,947.4723062,22.98665521
427,22,940.3785416,967.4250406,731.5131048
428,22,957.6728674,968.3302034,113.5788105
429,22,947.2276191,951.9019512,21.84938076
430,22,959.8383229,967.2784799,55.35593699
431,22,951.1059965,937.7901203,177.3125597
432,22,943.0088464,980.4395687,1401.058969
433,22,950.3535876,952.0975438,3.041383129
434,22,959.705217,949.8744827,96.64333676
435,22,940.0436917,955.5468918,240.3492122
436,22,956.0050593,961.7254687,32.72308388
437,22,942.7664747,941.5728047,1.424848052
438,22,948.4866366,952.6919473,17.68463829
439,22,944.2942983,956.5458573,150.1006979
440,22,947.8922331,956.5737729,75.36913339
441,23,954.5000285,956.1291389,2.654000588
442,23,963.5325994,956.0647893,55.76818799
443,23,931.6045761,941.9234144,106.4784236
444,23,956.6034881,952.3865759,17.78234808
445,23,957.9648974,956.7630048,1.444546046
446,23,934.8115069,962.1572343,747.7888048
447,23,938.0152613,956.0632799,325.7309765
448,23,957.4562196,957.1887383,0.071546262
449,23,949.1004904,952.7523459,13.33604855
450,23,943.4816369,957.8701322,207.0287976
451,23,944.2242913,943.0827285,1.303165582
452,23,953.0247297,961.0292155,64.07179283
453,23,953.3629692,951.5622659,3.242532581
454,23,946.2968568,957.9987085,136.9333329
455,23,946.0180838,956.6314955,112.6445067
456,23,944.0761177,958.6056923,211.1085383
457,23,944.6745361,960.8360326,261.1939695
458,23,956.6633339,942.0319637,214.0769926
459,23,946.4719438,959.0783223,158.9207781
460,23,949.0659355,953.3278386,18.1638177
461,24,941.9250898,947.6059519,32.27219422
462,24,936.003349,954.9757271,359.9511304
463,24,938.3005912,937.978444,0.103778852
464,24,953.4650071,954.8052918,1.796363165
465,24,939.2961568,953.2356499,194.3094666
466,24,961.7219147,949.3427203,153.2444542
467,24,967.6922669,961.2290747,41.77285352
468,24,956.4541741,945.8297165,112.879098
469,24,952.9936065,957.00665,16.10451758
470,24,944.7933205,952.1616218,54.29186301
471,24,952.2296067,955.6292253,11.55740632
472,24,934.3228184,977.9378971,1902.275091
473,24,941.6341512,955.0870478,180.9804257
474,24,961.6335997,952.8692413,76.81397847
475,24,950.1732406,932.2443095,321.4465708
476,24,950.7002798,954.674712,15.7961112
477,24,948.4348142,951.9500766,12.35707038
478,24,955.283947,949.1136983,38.0719693
479,24,941.098419,975.5976697,1190.198292
480,24,969.9860861,949.4890002,420.1305325
481,25,961.068639,952.9991503,65.11664678
482,25,935.6251706,967.5631925,1020.037246
483,25,965.5124597,963.1471817,5.594540132
484,25,950.1058311,953.4237913,11.00886004
485,25,962.9471734,959.3559897,12.89660035
486,25,957.9215328,971.2923131,178.777765
487,25,953.2096819,951.4911509,2.95334897
488,25,960.8712501,967.0129632,37.72063998
489,25,953.767453,944.1668441,92.17169116
490,25,965.3300281,957.7272213,57.80267156
491,25,948.2971812,962.30002,196.0794929
492,25,950.9080791,946.602772,18.53566925
493,25,960.6760526,959.0409525,2.673552321
494,25,941.4282907,952.0873954,113.6165149
495,25,934.6164742,967.0479623,1051.801422
496,25,944.7405558,960.3034976,242.2051577
497,25,959.8687951,946.4240664,180.7607302
498,25,950.4954266,965.2406965,217.4229841
499,25,947.4647446,955.4616818,63.95100336
500,25,965.3609585,962.6398108,7.404644725
501,26,936.6739096,958.1183011,459.8619272
502,26,944.2481538,972.2180043,782.3125324
503,26,943.2144216,950.8930484,58.96130939
504,26,953.4361835,935.3482647,327.1728075
505,26,956.6594991,952.1648563,20.20181339
506,26,969.4105274,953.8094845,243.3925377
507,26,954.3687393,941.4910651,165.8344914
508,26,961.8852379,964.595312,7.344501424
509,26,950.1874555,961.8506296,136.0296298
510,26,952.600064,951.6605429,0.882699834
511,26,965.8551242,954.1863512,136.1602636
512,26,956.3874569,955.4865398,0.811651635
513,26,947.3471696,961.3152398,195.106986
514,26,961.4170215,969.2279499,61.0106024
515,26,960.4727722,945.282829,230.7343729
516,26,955.5328816,964.9110536,87.95010953
517,26,932.8125297,954.5162865,471.0530577
518,26,931.0765692,943.9238898,165.0536452
519,26,965.9619451,947.4619161,342.2510729
520,26,941.0350731,968.7610847,768.7317203
521,27,951.1067826,966.3996178,233.8708085
522,27,949.6057014,946.0568676,12.59422148
523,27,967.3925815,947.3979405,399.7856693
524,27,941.0171313,954.6695304,186.3880026
525,27,954.1586883,958.4152436,18.1182631
526,27,960.9807585,953.2424732,59.88105894
527,27,946.5842695,935.7153966,118.1323976
528,27,968.0395955,945.6035384,503.3766579
529,27,945.7329471,958.0235819,151.0597034
530,27,961.7976143,952.8614041,79.85585305
531,27,941.8912292,968.083399,686.0297572
532,27,955.5613855,944.7370044,117.1672262
533,27,970.9223655,954.3866502,273.4298804
534,27,955.4288284,954.0114288,2.009021619
535,27,952.0674563,942.0788554,99.77214948
536,27,943.62964,940.5493992,9.487882893
537,27,939.8131788,949.8640279,101.0195674
538,27,945.0795299,951.4137281,40.12206734
539,27,954.3659327,952.1077954,5.099184244
540,27,948.4751366,957.5675768,82.67246781
541,28,952.6937319,957.548681,23.57053112
542,28,936.9753686,954.5050535,307.2898527
543,28,946.7744754,943.7864459,8.928320174
544,28,949.4530894,967.4398592,323.5238878
545,28,930.5674483,947.7946733,296.7772796
546,28,937.6486043,957.3598888,388.5347345
547,28,954.5289225,956.9112032,5.675261478
548,28,940.4316881,977.9634522,1408.633317
549,28,958.7197463,964.376603,32.00002796
550,28,959.8182668,945.5046714,204.8790129
551,28,974.0153171,950.8689742,535.7531888
552,28,941.4239326,967.9331334,702.7377286
553,28,936.2453119,957.0440853,432.5889751
554,28,974.7946339,963.7712154,121.5157565
555,28,958.4822462,949.5366306,80.02403718
556,28,946.9474314,956.4596703,90.48268915
557,28,944.5263907,954.2226912,94.01824276
558,28,946.4878719,941.9114261,20.94385594
559,28,945.0518209,953.0343351,63.72053311
560,28,935.0274048,953.4998496,341.2312169
561,29,938.855204,955.5156591,277.570767
562,29,960.6442577,964.0409503,11.53752116
563,29,967.5984687,940.3764492,741.0383447
564,29,941.5845051,959.0045271,303.4571638
565,29,950.5508067,968.8330821,334.2415949
566,29,951.6013803,958.5144812,47.79096448
567,29,946.848139,957.5343101,114.1942521
568,29,945.3006505,963.6204261,335.6141797
569,29,939.3484216,979.3043868,1596.479155
570,29,959.7928707,949.5461006,104.9962977
571,29,934.6393377,970.9617237,1319.315722
572,29,964.6057023,951.9136236,161.0888617
573,29,936.6460663,985.3102964,2368.207291
574,29,945.8581589,957.6034605,137.9521103
575,29,979.2741768,951.9339983,747.4853597
576,29,949.8851172,953.8668563,15.85424673
577,29,951.1899871,959.4243542,67.80480194
578,29,950.3744406,952.7741699,5.758700923
579,29,941.6472073,952.7452815,123.1672516
580,29,945.9476942,966.7582885,433.0808327
581,30,935.303672,950.8333773,241.1717469
582,30,929.5988349,952.3609796,518.1152328
583,30,959.3922844,966.7781613,54.55117742
584,30,950.7722751,964.8397443,197.893691
585,30,956.8425398,957.2676899,0.180752553
586,30,949.3250324,949.2000879,0.015611134
587,30,948.218876,944.4434367,14.25394211
588,30,927.2588394,943.0019546,247.8456776
589,30,955.3777605,949.2117622,38.01953504
590,30,931.0725323,934.543557,12.04801237
591,30,954.4391824,958.3032944,14.93136168
592,30,945.9507735,960.3122598,206.2522879
593,30,966.4009366,945.5817772,433.4373945
594,30,936.7053075,959.0804715,500.6479634
595,30,950.3099951,956.8534798,42.8171927
596,30,941.6350516,951.5226443,97.76448986
597,30,949.3276409,954.2567666,24.29627999
598,30,943.6114173,952.2007337,73.77635734
599,30,950.2566704,970.3049623,401.9340105
600,30,959.4157536,960.9949613,2.493896897
601,31,941.013574,941.0826902,0.004777053
602,31,953.3276185,953.3485033,0.000436175
603,31,939.7596201,950.3638963,112.4506747
604,31,936.2400368,941.5010908,27.67868906
605,31,934.954829,949.6079699,214.7145366
606,31,951.1443747,974.5206967,546.4524321
607,31,958.4530829,953.9047107,20.68768949
608,31,940.8833964,945.9482763,25.65300885
609,31,959.2124308,955.8855196,11.06833835
610,31,953.5168947,973.7251259,408.3726084
611,31,955.0772007,961.9385748,47.0784547
612,31,942.7086571,967.3601634,607.6967609
613,31,947.5655479,948.9305897,1.863338944
614,31,954.2119092,958.1190872,15.26603961
615,31,945.3748484,939.6146162,33.18027444
616,31,949.7220899,938.2043534,132.658255
617,31,941.52673,940.007133,2.309175221
618,31,937.1859938,950.3236692,172.5985163
619,31,952.2337706,944.8501478,54.51788569
620,31,949.5304357,956.033222,42.28623017
621,32,942.4881817,951.7006911,84.87033022
622,32,950.9736709,972.6727879,470.8516757
623,32,946.3598494,949.200964,8.071932557
624,32,948.7082313,950.7659712,4.234293704
625,32,974.0386794,939.8281352,1170.36134
626,32,952.4672731,960.8239432,69.8339345
627,32,934.3711339,968.1890132,1143.648961
628,32,953.8927475,948.7215972,26.74079562
629,32,949.1241521,955.2049304,36.97586467
630,32,953.3094169,954.5594687,1.562629526
631,32,956.132907,960.7991092,21.77344274
632,32,955.0405502,971.3821452,267.0477282
633,32,957.3142878,934.1949319,534.5046174
634,32,927.4775231,954.0744415,707.3960664
635,32,950.0130044,945.593851,19.52891687
636,32,947.9567719,971.2817361,544.0539569
637,32,945.9564301,935.5502226,108.2891544
638,32,940.6564334,964.9129961,588.3808338
639,32,944.9579256,949.6339434,21.86514195
640,32,935.7536047,959.6517577,571.1217153
641,33,975.990646,944.536991,989.3324167
642,33,950.7672445,962.6124468,140.3088181
643,33,946.9590332,952.1160704,26.59503248
644,33,965.4660238,932.1720993,1108.485411
645,33,948.0744376,963.8967063,250.3441867
